shrimp,1
almonds,2
avocado,3
vegetables mix,4
green grapes,5
whole weat flour,6
yams,7
cottage cheese,8
energy drink,9
tomato juice,10
low fat yogurt,11
green tea,12
honey,13
salad,14
mineral water,15
salmon,16
antioxydant juice,17
frozen smoothie,18
spinach,19
olive oil,20
burgers,21
meatballs,22
eggs,23
chutney,24
turkey,25
milk,26
energy bar,27
whole wheat rice,28
whole wheat pasta,29
french fries,30
soup,31
light cream,32
shallot,33
frozen vegetables,34
spaghetti,35
pet food,36
cookies,37
cooking oil,38
champagne,39
chocolate,40
chicken,41
oil,42
fresh tuna,43
tomatoes,44
black tea,45
extra dark 40,46
protein bar,47
red wine,48
pasta,49
shampoo,50
sparkling water,51
pepper,52
rice,53
ham,54
body spray,55
pancakes,56
white wine,57
toothpaste,58
grated cheese,59
parmesan cheese,60
fresh bread,61
escalope,62
ground beef,63
magazines,64
herb & 52,65
tomato sauce,66
strawberries,67
strong cheese,68
pickles,69
hot dogs,70
cake,71
brownies,72
cereals,73
clothes accessories,74
bug spray,75
muffins,76
light mayo,77
gums,78
soda,79
cider,80
corn,81
yogurt 70,82
mint,83
butter,84
asparagus,85
french wine,86
salt,87
barbecue sauce,88
tea,89
mayonnaise,90
zucchini,91
carrots,92
mushroom cream sauce,93
candy bars,94
chili,95
mashed potato,96
nonfat 26,97
water spray,98
40 bread,99
eggplant,100
blueberries,101
bacon,102
fromage blanc,103
gluten free bar,104
flax seed,105
dessert wine,106
hand 47,107
sandwich,108
babies food,109
melons,110
cauliflower,111
green beans,112
ketchup,113
bramble,114
burger sauce,115
oatmeal,116
